"Sceau de confiance","Sceau de confiance"
"General configuration","Configuration générale"
"Enabled","Activation du service"
"SiteID","SiteID"
"Votre identifant marchand FIA-NET","Votre identifant marchand FIA-NET"
"left position","Affichage à gauche"
"right position","Affichage à droite"
"footer position","Affichage dans le footer"
"private_key","Clé privée"
"password","Mot de passe"
"links","Urls"
"test_send_url","[Test] Url de soumission"
"prod_send_url","[Prod] Url de soumission"
"Widget configuration","Configuration du Widget"
"fianet_url","Urls de Fia-net"
"widgettransparent","Transparence du Widget"
"Login Sceau","Login"
"Envoi automatique des commandes","Envoi automatique des commandes"
"Toute commande atteignant l'un des status définis fera l'objet d'un envoi de questionnaire","Toute commande atteignant l'un des status définis fera l'objet d'un envoi de questionnaire"
"Correspond à votre identifant marchand FIA-NET","Correspond à votre identifant marchand FIA-NET"
"Logo configuration","Configuration du logo"
"logo left position","Affichage dans la colonne de gauche"
"logo right position","Affichage dans la colonne de droite"
"logo footer position","Affichage dans le footer"
"widgettransparent","Transparence du widget"
"Envoyer à FIA-NET sceau","Envoyer questionnaire FIA-NET"